,stimulation,population,feature,time,p.value,FDR
Unstim_Th2_ERK_V4b,Unstim,Th2,ERK,V4b,0.293092741,0.808480367
Unstim_Th2_MAPKAPK2_V4b,Unstim,Th2,MAPKAPK2,V4b,0.293092741,0.808480367
Unstim_Tregmem_NFkB_V4b,Unstim,Tregmem,NFkB,V4b,0.293092741,0.808480367
Unstim_CD4Tnaive_pSTAT6_V5,Unstim,CD4Tnaive,pSTAT6,V5,0.293092741,0.871284785
Unstim_CD56brightCD16neg-NK_IkB_V5,Unstim,CD56brightCD16neg-NK,IkB,V5,0.293092741,0.871284785
Unstim_intMC_NFkB_V5,Unstim,intMC,NFkB,V5,0.293092741,0.871284785
Unstim_NK-Tcells_IkB_V5,Unstim,NK-Tcells,IkB,V5,0.293092741,0.871284785
Unstim_NK-Tcells_NFkB_V5,Unstim,NK-Tcells,NFkB,V5,0.293092741,0.871284785
Unstim_Th1mem_STAT1_V4b,Unstim,Th1mem,STAT1,V4b,0.294750576,0.808480367
LPS_mDC_pSTAT6_V4a,LPS,mDC,pSTAT6,V4a,0.296687707,0.865224853
LPS_Tregnaive_STAT3_V4a,LPS,Tregnaive,STAT3,V4a,0.296802704,0.865224853
Unstim_Th1naive_MAPKAPK2_V4b,Unstim,Th1naive,MAPKAPK2,V4b,0.296831967,0.808480367
IL246_Th17_STAT1_V4a,IL246,Th17,STAT1,V4a,0.297258129,0.865503391
IL1B_CD8Tnaive_ERK_V4a,IL1B,CD8Tnaive,ERK,V4a,0.302614942,0.866006264
IL246_Th1mem_ERK_V4a,IL246,Th1mem,ERK,V4a,0.302614942,0.866006264
Unstim_cMC_STAT5_V4b,Unstim,cMC,STAT5,V4b,0.30320701,0.808480367
PI_CD56brightCD16neg-NK_Frequency_V4a,PI,CD56brightCD16neg-NK,Frequency,V4a,0.30572537,0.866006264
PI_cMC_Frequency_V4a,PI,cMC,Frequency,V4a,0.30572537,0.866006264
PI_Th17_MAPKAPK2_V4a,PI,Th17,MAPKAPK2,V4a,0.30572537,0.866006264
IL1B_CD4Trm_p38_V4a,IL1B,CD4Trm,p38,V4a,0.306020631,0.866006264
PI_CD4Trm_STAT3_V4a,PI,CD4Trm,STAT3,V4a,0.30652437,0.866006264
IFNa_CD8Tnaive_p38_V4a,IFNa,CD8Tnaive,p38,V4a,0.307873329,0.866006264
IFNa_NK-Tcells_STAT3_V4a,IFNa,NK-Tcells,STAT3,V4a,0.307873329,0.866006264
IFNa_Th1mem_pSTAT6_V4a,IFNa,Th1mem,pSTAT6,V4a,0.307873329,0.866006264
IL246_Baso +++_CREB_V4a,IL246,Baso +++,CREB,V4a,0.307873329,0.866006264
IL246_Bcells_S6_V4a,IL246,Bcells,S6,V4a,0.307873329,0.866006264
IL246_MDSC_STAT5_V4a,IL246,MDSC,STAT5,V4a,0.307873329,0.866006264
IL246_pDC_STAT5_V4a,IL246,pDC,STAT5,V4a,0.307873329,0.866006264
IL246_Th17_STAT3_V4a,IL246,Th17,STAT3,V4a,0.307873329,0.866006264
LPS_Baso_NFkB_V4a,LPS,Baso,NFkB,V4a,0.307873329,0.866006264
LPS_CD8Tem_IkB_V4a,LPS,CD8Tem,IkB,V4a,0.307873329,0.866006264
LPS_Eosino_pSTAT6_V4a,LPS,Eosino,pSTAT6,V4a,0.307873329,0.866006264
LPS_mDC_MAPKAPK2_V4a,LPS,mDC,MAPKAPK2,V4a,0.307873329,0.866006264
LPS_ncMC_STAT5_V4a,LPS,ncMC,STAT5,V4a,0.307873329,0.866006264
LPS_NK-Tcells_Frequency_V4a,LPS,NK-Tcells,Frequency,V4a,0.307873329,0.866006264
LPS_pDC_CREB_V4a,LPS,pDC,CREB,V4a,0.307873329,0.866006264
TNFa_CD4Tnaive_IkB_V4a,TNFa,CD4Tnaive,IkB,V4a,0.307873329,0.866006264
TNFa_CD8Tnaive_Frequency_V4a,TNFa,CD8Tnaive,Frequency,V4a,0.307873329,0.866006264
TNFa_Eosino_S6_V4a,TNFa,Eosino,S6,V4a,0.307873329,0.866006264
Unstim_Bcells_Frequency_V4a,Unstim,Bcells,Frequency,V4a,0.307873329,0.866006264
Unstim_CD8Tnaive_S6_V4a,Unstim,CD8Tnaive,S6,V4a,0.307873329,0.866006264
Unstim_ncMC_IkB_V4a,Unstim,ncMC,IkB,V4a,0.307873329,0.866006264
Unstim_Th1mem_IkB_V4a,Unstim,Th1mem,IkB,V4a,0.307873329,0.866006264
Unstim_Baso +++_IkB_V4b,Unstim,Baso +++,IkB,V4b,0.307873329,0.808480367
Unstim_CD56dimCD16pos-NK_NFkB_V4b,Unstim,CD56dimCD16pos-NK,NFkB,V4b,0.307873329,0.808480367
Unstim_cMC_IkB_V4b,Unstim,cMC,IkB,V4b,0.307873329,0.808480367
Unstim_intMC_S6_V4b,Unstim,intMC,S6,V4b,0.307873329,0.808480367
Unstim_MDSC_NFkB_V4b,Unstim,MDSC,NFkB,V4b,0.307873329,0.808480367
Unstim_ncMC_CREB_V4b,Unstim,ncMC,CREB,V4b,0.307873329,0.808480367
Unstim_Th1mem_pSTAT6_V4b,Unstim,Th1mem,pSTAT6,V4b,0.307873329,0.808480367
Unstim_Tregnaive_NFkB_V4b,Unstim,Tregnaive,NFkB,V4b,0.307873329,0.808480367
Unstim_Baso_STAT5_V5,Unstim,Baso,STAT5,V5,0.307873329,0.874389328
Unstim_MDSC_STAT3_V5,Unstim,MDSC,STAT3,V5,0.307873329,0.874389328
Unstim_pDC_MAPKAPK2_V5,Unstim,pDC,MAPKAPK2,V5,0.307873329,0.874389328
LPS_Baso_STAT3_V4a,LPS,Baso,STAT3,V4a,0.310308484,0.867074939
Unstim_Treg_STAT5_V4b,Unstim,Treg,STAT5,V4b,0.311298878,0.810883369
Unstim_CD8Trm_S6_V5,Unstim,CD8Trm,S6,V5,0.311298878,0.874389328
IL246_Th1naive_STAT1_V4a,IL246,Th1naive,STAT1,V4a,0.311683283,0.867074939
LPS_Th1naive_MAPKAPK2_V4a,LPS,Th1naive,MAPKAPK2,V4a,0.313409308,0.867074939
Unstim_mDC_ERK_V4a,Unstim,mDC,ERK,V4a,0.313935742,0.867074939
PI_Th1mem_MAPKAPK2_V4a,PI,Th1mem,MAPKAPK2,V4a,0.317531933,0.867074939
PI_ncMC_STAT3_V4a,PI,ncMC,STAT3,V4a,0.317824366,0.867074939
IFNa_pDC_ERK_V4a,IFNa,pDC,ERK,V4a,0.318363911,0.867074939
IFNa_pDC_MAPKAPK2_V4a,IFNa,pDC,MAPKAPK2,V4a,0.318363911,0.867074939
IL1B_cMC_ERK_V4a,IL1B,cMC,ERK,V4a,0.318363911,0.867074939
IL1B_ncMC_ERK_V4a,IL1B,ncMC,ERK,V4a,0.318363911,0.867074939
IL1B_Treg_Frequency_V4a,IL1B,Treg,Frequency,V4a,0.318363911,0.867074939
IFNa_Th1naive_STAT5_V4a,IFNa,Th1naive,STAT5,V4a,0.322279642,0.867074939
PI_CD4Trm_S6_V4a,PI,CD4Trm,S6,V4a,0.322279642,0.867074939
PI_mDC_NFkB_V4a,PI,mDC,NFkB,V4a,0.322279642,0.867074939
IFNa_Baso +++_STAT3_V4a,IFNa,Baso +++,STAT3,V4a,0.323126224,0.867074939
IFNa_CD4Tnaive_S6_V4a,IFNa,CD4Tnaive,S6,V4a,0.323126224,0.867074939
IFNa_mDC_pSTAT6_V4a,IFNa,mDC,pSTAT6,V4a,0.323126224,0.867074939
IFNa_MDSC_ERK_V4a,IFNa,MDSC,ERK,V4a,0.323126224,0.867074939
IL246_Bcells_NFkB_V4a,IL246,Bcells,NFkB,V4a,0.323126224,0.867074939
IL246_CD4Tcm_NFkB_V4a,IL246,CD4Tcm,NFkB,V4a,0.323126224,0.867074939
IL246_gdT_IkB_V4a,IL246,gdT,IkB,V4a,0.323126224,0.867074939
IL246_Granulocytes_NFkB_V4a,IL246,Granulocytes,NFkB,V4a,0.323126224,0.867074939
IL246_Th17_NFkB_V4a,IL246,Th17,NFkB,V4a,0.323126224,0.867074939
IL246_Tregmem_Frequency_V4a,IL246,Tregmem,Frequency,V4a,0.323126224,0.867074939
LPS_CD4Tem_pSTAT6_V4a,LPS,CD4Tem,pSTAT6,V4a,0.323126224,0.867074939
LPS_CD56brightCD16neg-NK_STAT5_V4a,LPS,CD56brightCD16neg-NK,STAT5,V4a,0.323126224,0.867074939
LPS_CD56dimCD16pos-NK_CREB_V4a,LPS,CD56dimCD16pos-NK,CREB,V4a,0.323126224,0.867074939
LPS_CD8Tcm_IkB_V4a,LPS,CD8Tcm,IkB,V4a,0.323126224,0.867074939
LPS_Th17_S6_V4a,LPS,Th17,S6,V4a,0.323126224,0.867074939
TNFa_CD4Tcm_CREB_V4a,TNFa,CD4Tcm,CREB,V4a,0.323126224,0.867074939
TNFa_CD4Tem_S6_V4a,TNFa,CD4Tem,S6,V4a,0.323126224,0.867074939
TNFa_Granulocytes_NFkB_V4a,TNFa,Granulocytes,NFkB,V4a,0.323126224,0.867074939
Unstim_ncMC_CREB_V4a,Unstim,ncMC,CREB,V4a,0.323126224,0.867074939
Unstim_pDC_Frequency_V4a,Unstim,pDC,Frequency,V4a,0.323126224,0.867074939
Unstim_Th1naive_Frequency_V4a,Unstim,Th1naive,Frequency,V4a,0.323126224,0.867074939
Unstim_Baso_Frequency_V4b,Unstim,Baso,Frequency,V4b,0.323126224,0.815214654
Unstim_pDC_IkB_V4b,Unstim,pDC,IkB,V4b,0.323126224,0.815214654
Unstim_CD8Tem_S6_V5,Unstim,CD8Tem,S6,V5,0.323126224,0.874389328
Unstim_Granulocytes_NFkB_V5,Unstim,Granulocytes,NFkB,V5,0.323126224,0.874389328
Unstim_mDC_NFkB_V5,Unstim,mDC,NFkB,V5,0.323126224,0.874389328
Unstim_pDC_S6_V5,Unstim,pDC,S6,V5,0.323126224,0.874389328
Unstim_Treg_IkB_V5,Unstim,Treg,IkB,V5,0.323126224,0.874389328
Unstim_Tregmem_IkB_V5,Unstim,Tregmem,IkB,V5,0.323126224,0.874389328
IL1B_Baso +++_STAT3_V4a,IL1B,Baso +++,STAT3,V4a,0.323152796,0.867074939
PI_Th1mem_STAT3_V4a,PI,Th1mem,STAT3,V4a,0.323604301,0.867074939
Unstim_CD8Tcm_STAT5_V4a,Unstim,CD8Tcm,STAT5,V4a,0.326661925,0.867074939
Unstim_CD8Trm_S6_V4b,Unstim,CD8Trm,S6,V4b,0.326661925,0.815214654
Unstim_CD56dimCD16pos-NK_S6_V5,Unstim,CD56dimCD16pos-NK,S6,V5,0.326661925,0.874389328
IL246_Th1_STAT3_V4a,IL246,Th1,STAT3,V4a,0.330198925,0.867074939
Unstim_CD4Tnaive_CREB_V4a,Unstim,CD4Tnaive,CREB,V4a,0.330793762,0.867074939
IL1B_gdT_STAT3_V4a,IL1B,gdT,STAT3,V4a,0.331137459,0.867074939
PI_Th1_S6_V4a,PI,Th1,S6,V4a,0.33377389,0.867074939
Unstim_CD4Tnaive_S6_V5,Unstim,CD4Tnaive,S6,V5,0.334431739,0.874389328
Unstim_Tregnaive_S6_V5,Unstim,Tregnaive,S6,V5,0.334431739,0.874389328
IL1B_Eosino_CREB_V4a,IL1B,Eosino,CREB,V4a,0.334625758,0.867074939
IL1B_Th17_pSTAT6_V4a,IL1B,Th17,pSTAT6,V4a,0.334625758,0.867074939
IL1B_Tregnaive_pSTAT6_V4a,IL1B,Tregnaive,pSTAT6,V4a,0.334625758,0.867074939
IL1B_pDC_p38_V4a,IL1B,pDC,p38,V4a,0.337308318,0.867074939
Unstim_Baso_pSTAT6_V4b,Unstim,Baso,pSTAT6,V4b,0.338769572,0.815214654
IFNa_Bcells_NFkB_V4a,IFNa,Bcells,NFkB,V4a,0.338850495,0.867074939
IFNa_CD8Tnaive_MAPKAPK2_V4a,IFNa,CD8Tnaive,MAPKAPK2,V4a,0.338850495,0.867074939
IFNa_CD8Trm_MAPKAPK2_V4a,IFNa,CD8Trm,MAPKAPK2,V4a,0.338850495,0.867074939
IFNa_CD8Trm_pSTAT6_V4a,IFNa,CD8Trm,pSTAT6,V4a,0.338850495,0.867074939
IFNa_Th17_STAT3_V4a,IFNa,Th17,STAT3,V4a,0.338850495,0.867074939
IL246_CD56dimCD16pos-NK_CREB_V4a,IL246,CD56dimCD16pos-NK,CREB,V4a,0.338850495,0.867074939
IL246_ncMC_CREB_V4a,IL246,ncMC,CREB,V4a,0.338850495,0.867074939
IL246_NK-Tcells_NFkB_V4a,IL246,NK-Tcells,NFkB,V4a,0.338850495,0.867074939
LPS_Baso_ERK_V4a,LPS,Baso,ERK,V4a,0.338850495,0.867074939
LPS_CD4Tcm_pSTAT6_V4a,LPS,CD4Tcm,pSTAT6,V4a,0.338850495,0.867074939
LPS_CD4Trm_S6_V4a,LPS,CD4Trm,S6,V4a,0.338850495,0.867074939
LPS_CD8Trm_ERK_V4a,LPS,CD8Trm,ERK,V4a,0.338850495,0.867074939
LPS_NK-Tcells_NFkB_V4a,LPS,NK-Tcells,NFkB,V4a,0.338850495,0.867074939
LPS_Th1_pSTAT6_V4a,LPS,Th1,pSTAT6,V4a,0.338850495,0.867074939
TNFa_CD8Tnaive_S6_V4a,TNFa,CD8Tnaive,S6,V4a,0.338850495,0.867074939
TNFa_cMC_NFkB_V4a,TNFa,cMC,NFkB,V4a,0.338850495,0.867074939
TNFa_gdT_pSTAT6_V4a,TNFa,gdT,pSTAT6,V4a,0.338850495,0.867074939
TNFa_Th2_CREB_V4a,TNFa,Th2,CREB,V4a,0.338850495,0.867074939
TNFa_Th2_NFkB_V4a,TNFa,Th2,NFkB,V4a,0.338850495,0.867074939
TNFa_Tregmem_pSTAT6_V4a,TNFa,Tregmem,pSTAT6,V4a,0.338850495,0.867074939
Unstim_CD56dimCD16pos-NK_IkB_V4a,Unstim,CD56dimCD16pos-NK,IkB,V4a,0.338850495,0.867074939
Unstim_cMC_NFkB_V4a,Unstim,cMC,NFkB,V4a,0.338850495,0.867074939
Unstim_Th2_S6_V4a,Unstim,Th2,S6,V4a,0.338850495,0.867074939
Unstim_CD4Tcm_S6_V4b,Unstim,CD4Tcm,S6,V4b,0.338850495,0.815214654
Unstim_CD8Trm_IkB_V4b,Unstim,CD8Trm,IkB,V4b,0.338850495,0.815214654
Unstim_intMC_Frequency_V4b,Unstim,intMC,Frequency,V4b,0.338850495,0.815214654
Unstim_gdT_Frequency_V5,Unstim,gdT,Frequency,V5,0.338850495,0.874389328
Unstim_intMC_STAT3_V5,Unstim,intMC,STAT3,V5,0.338850495,0.874389328
IL246_Th1naive_MAPKAPK2_V4a,IL246,Th1naive,MAPKAPK2,V4a,0.339391944,0.867074939
PI_gdT_STAT3_V4a,PI,gdT,STAT3,V4a,0.340118225,0.867074939
Unstim_CD4Tcm_STAT3_V4b,Unstim,CD4Tcm,STAT3,V4b,0.342229453,0.815214654
PI_CD56dimCD16pos-NK_STAT5_V4a,PI,CD56dimCD16pos-NK,STAT5,V4a,0.343501469,0.867074939
IL1B_Tregnaive_STAT3_V4a,IL1B,Tregnaive,STAT3,V4a,0.344419247,0.867074939
IL1B_Treg_STAT3_V4a,IL1B,Treg,STAT3,V4a,0.344636827,0.867074939
IL246_Baso +++_STAT1_V4a,IL246,Baso +++,STAT1,V4a,0.344942579,0.867074939
IL246_CD56dimCD16pos-NK_STAT3_V4a,IL246,CD56dimCD16pos-NK,STAT3,V4a,0.344942579,0.867074939
IL246_CD8Tcm_STAT1_V4a,IL246,CD8Tcm,STAT1,V4a,0.344942579,0.867074939
IL246_gdT_STAT1_V4a,IL246,gdT,STAT1,V4a,0.344942579,0.867074939
LPS_CD56brightCD16neg-NK_pSTAT6_V4a,LPS,CD56brightCD16neg-NK,pSTAT6,V4a,0.344942579,0.867074939
LPS_CD56brightCD16neg-NK_STAT3_V4a,LPS,CD56brightCD16neg-NK,STAT3,V4a,0.344942579,0.867074939
LPS_mDC_STAT1_V4a,LPS,mDC,STAT1,V4a,0.344942579,0.867074939
LPS_MDSC_pSTAT6_V4a,LPS,MDSC,pSTAT6,V4a,0.344942579,0.867074939
LPS_ncMC_STAT1_V4a,LPS,ncMC,STAT1,V4a,0.344942579,0.867074939
TNFa_Baso +++_STAT1_V4a,TNFa,Baso +++,STAT1,V4a,0.344942579,0.867074939
TNFa_gdT_STAT3_V4a,TNFa,gdT,STAT3,V4a,0.344942579,0.867074939
TNFa_intMC_STAT1_V4a,TNFa,intMC,STAT1,V4a,0.344942579,0.867074939
Unstim_Baso_ERK_V4a,Unstim,Baso,ERK,V4a,0.344942579,0.867074939
Unstim_Baso +++_STAT3_V4a,Unstim,Baso +++,STAT3,V4a,0.344942579,0.867074939
Unstim_CD56brightCD16neg-NK_STAT3_V4a,Unstim,CD56brightCD16neg-NK,STAT3,V4a,0.344942579,0.867074939
Unstim_Th1_STAT1_V4a,Unstim,Th1,STAT1,V4a,0.344942579,0.867074939
Unstim_Baso_ERK_V4b,Unstim,Baso,ERK,V4b,0.344942579,0.815214654
Unstim_CD56brightCD16neg-NK_STAT3_V4b,Unstim,CD56brightCD16neg-NK,STAT3,V4b,0.344942579,0.815214654
Unstim_Baso_ERK_V5,Unstim,Baso,ERK,V5,0.344942579,0.874389328
Unstim_CD56brightCD16neg-NK_STAT3_V5,Unstim,CD56brightCD16neg-NK,STAT3,V5,0.344942579,0.874389328
Unstim_CD8Tem_STAT3_V5,Unstim,CD8Tem,STAT3,V5,0.344942579,0.874389328
Unstim_Th1_STAT1_V5,Unstim,Th1,STAT1,V5,0.344942579,0.874389328
PI_Bcells_STAT3_V4a,PI,Bcells,STAT3,V4a,0.346614433,0.867074939
PI_Bcells_STAT5_V4a,PI,Bcells,STAT5,V4a,0.346614433,0.867074939
PI_CD4Tcm_STAT1_V4a,PI,CD4Tcm,STAT1,V4a,0.346614433,0.867074939
PI_CD4Tnaive_STAT1_V4a,PI,CD4Tnaive,STAT1,V4a,0.346614433,0.867074939
PI_CD8Tcm_STAT3_V4a,PI,CD8Tcm,STAT3,V4a,0.346614433,0.867074939
PI_cMC_STAT1_V4a,PI,cMC,STAT1,V4a,0.346614433,0.867074939
PI_intMC_STAT1_V4a,PI,intMC,STAT1,V4a,0.346614433,0.867074939
PI_mDC_STAT1_V4a,PI,mDC,STAT1,V4a,0.346614433,0.867074939
PI_MDSC_STAT1_V4a,PI,MDSC,STAT1,V4a,0.346614433,0.867074939
PI_pDC_STAT1_V4a,PI,pDC,STAT1,V4a,0.346614433,0.867074939
PI_Th2_STAT1_V4a,PI,Th2,STAT1,V4a,0.346614433,0.867074939
PI_Treg_STAT1_V4a,PI,Treg,STAT1,V4a,0.346614433,0.867074939
PI_Tregmem_STAT1_V4a,PI,Tregmem,STAT1,V4a,0.346614433,0.867074939
Unstim_cMC_STAT5_V4a,Unstim,cMC,STAT5,V4a,0.349557501,0.867074939
IL1B_Baso_S6_V4a,IL1B,Baso,S6,V4a,0.35139929,0.867074939
IL1B_cMC_MAPKAPK2_V4a,IL1B,cMC,MAPKAPK2,V4a,0.35139929,0.867074939
IL1B_Eosino_S6_V4a,IL1B,Eosino,S6,V4a,0.35139929,0.867074939
IL1B_Granulocytes_Frequency_V4a,IL1B,Granulocytes,Frequency,V4a,0.35139929,0.867074939
IL1B_MDSC_IkB_V4a,IL1B,MDSC,IkB,V4a,0.35139929,0.867074939
IL246_Tregnaive_S6_V4a,IL246,Tregnaive,S6,V4a,0.35139929,0.867074939
Unstim_CD4Tnaive_CREB_V4b,Unstim,CD4Tnaive,CREB,V4b,0.353708847,0.815214654
IFNa_Bcells_STAT3_V4a,IFNa,Bcells,STAT3,V4a,0.35504488,0.867074939
IFNa_CD56dimCD16pos-NK_IkB_V4a,IFNa,CD56dimCD16pos-NK,IkB,V4a,0.35504488,0.867074939
IFNa_CD8Trm_NFkB_V4a,IFNa,CD8Trm,NFkB,V4a,0.35504488,0.867074939
IFNa_intMC_S6_V4a,IFNa,intMC,S6,V4a,0.35504488,0.867074939
IFNa_Th1_MAPKAPK2_V4a,IFNa,Th1,MAPKAPK2,V4a,0.35504488,0.867074939
IL246_CD4Trm_CREB_V4a,IL246,CD4Trm,CREB,V4a,0.35504488,0.867074939
IL246_Eosino_ERK_V4a,IL246,Eosino,ERK,V4a,0.35504488,0.867074939
IL246_mDC_NFkB_V4a,IL246,mDC,NFkB,V4a,0.35504488,0.867074939
IL246_NK-Tcells_ERK_V4a,IL246,NK-Tcells,ERK,V4a,0.35504488,0.867074939
IL246_NK-Tcells_pSTAT6_V4a,IL246,NK-Tcells,pSTAT6,V4a,0.35504488,0.867074939
IL246_pDC_Frequency_V4a,IL246,pDC,Frequency,V4a,0.35504488,0.867074939
IL246_Th17_ERK_V4a,IL246,Th17,ERK,V4a,0.35504488,0.867074939
IL246_Treg_Frequency_V4a,IL246,Treg,Frequency,V4a,0.35504488,0.867074939
LPS_Baso +++_NFkB_V4a,LPS,Baso +++,NFkB,V4a,0.35504488,0.867074939
TNFa_CD8Tem_Frequency_V4a,TNFa,CD8Tem,Frequency,V4a,0.35504488,0.867074939
TNFa_CD8Tem_IkB_V4a,TNFa,CD8Tem,IkB,V4a,0.35504488,0.867074939
TNFa_Eosino_NFkB_V4a,TNFa,Eosino,NFkB,V4a,0.35504488,0.867074939
Unstim_Th17_STAT5_V4a,Unstim,Th17,STAT5,V4a,0.35504488,0.867074939
Unstim_Th2_pSTAT6_V4a,Unstim,Th2,pSTAT6,V4a,0.35504488,0.867074939
Unstim_CD56brightCD16neg-NK_MAPKAPK2_V4b,Unstim,CD56brightCD16neg-NK,MAPKAPK2,V4b,0.35504488,0.815214654
Unstim_CD8Trm_Frequency_V4b,Unstim,CD8Trm,Frequency,V4b,0.35504488,0.815214654
Unstim_intMC_STAT3_V4b,Unstim,intMC,STAT3,V4b,0.35504488,0.815214654
Unstim_mDC_IkB_V4b,Unstim,mDC,IkB,V4b,0.35504488,0.815214654
Unstim_ncMC_IkB_V4b,Unstim,ncMC,IkB,V4b,0.35504488,0.815214654
Unstim_gdT_NFkB_V5,Unstim,gdT,NFkB,V5,0.35504488,0.880782921
Unstim_pDC_STAT5_V5,Unstim,pDC,STAT5,V5,0.35504488,0.880782921
TNFa_Th1naive_STAT1_V4a,TNFa,Th1naive,STAT1,V4a,0.355494868,0.867074939
PI_CD56brightCD16neg-NK_MAPKAPK2_V4a,PI,CD56brightCD16neg-NK,MAPKAPK2,V4a,0.357060121,0.867074939
PI_Eosino_STAT5_V4a,PI,Eosino,STAT5,V4a,0.357060121,0.867074939
PI_NK-Tcells_ERK_V4a,PI,NK-Tcells,ERK,V4a,0.357060121,0.867074939
Unstim_Tregnaive_STAT3_V4a,Unstim,Tregnaive,STAT3,V4a,0.358523878,0.867074939
IL246_CD8Tem_STAT3_V4a,IL246,CD8Tem,STAT3,V4a,0.358839607,0.867074939
IL1B_CD56brightCD16neg-NK_STAT3_V4a,IL1B,CD56brightCD16neg-NK,STAT3,V4a,0.360370611,0.867074939
IL1B_pDC_pSTAT6_V4a,IL1B,pDC,pSTAT6,V4a,0.360370611,0.867074939
IL1B_Tregnaive_STAT1_V4a,IL1B,Tregnaive,STAT1,V4a,0.360370611,0.867074939
LPS_Th17_STAT3_V4a,LPS,Th17,STAT3,V4a,0.362038968,0.867074939
TNFa_Th17_STAT3_V4a,TNFa,Th17,STAT3,V4a,0.362038968,0.867074939
PI_Tregnaive_STAT1_V4a,PI,Tregnaive,STAT1,V4a,0.363081724,0.867074939
IL246_Baso_ERK_V4a,IL246,Baso,ERK,V4a,0.366409939,0.867074939
Unstim_CD56dimCD16pos-NK_ERK_V4b,Unstim,CD56dimCD16pos-NK,ERK,V4b,0.367589278,0.815214654
IL1B_Eosino_MAPKAPK2_V4a,IL1B,Eosino,MAPKAPK2,V4a,0.368681588,0.867074939
IL1B_mDC_NFkB_V4a,IL1B,mDC,NFkB,V4a,0.368681588,0.867074939
IL1B_ncMC_STAT5_V4a,IL1B,ncMC,STAT5,V4a,0.368681588,0.867074939
IL1B_NK-Tcells_CREB_V4a,IL1B,NK-Tcells,CREB,V4a,0.368681588,0.867074939
LPS_intMC_NFkB_V4a,LPS,intMC,NFkB,V4a,0.368681588,0.867074939
TNFa_Tregnaive_pSTAT6_V4a,TNFa,Tregnaive,pSTAT6,V4a,0.368681588,0.867074939
IL246_CD4Trm_STAT1_V4a,IL246,CD4Trm,STAT1,V4a,0.371088195,0.867074939
IFNa_CD4Tem_ERK_V4a,IFNa,CD4Tem,ERK,V4a,0.371706554,0.867074939
IFNa_CD4Trm_STAT3_V4a,IFNa,CD4Trm,STAT3,V4a,0.371706554,0.867074939
IFNa_CD56brightCD16neg-NK_MAPKAPK2_V4a,IFNa,CD56brightCD16neg-NK,MAPKAPK2,V4a,0.371706554,0.867074939
IFNa_gdT_STAT1_V4a,IFNa,gdT,STAT1,V4a,0.371706554,0.867074939
IFNa_ncMC_STAT3_V4a,IFNa,ncMC,STAT3,V4a,0.371706554,0.867074939
IFNa_Th1_p38_V4a,IFNa,Th1,p38,V4a,0.371706554,0.867074939
IL246_Baso +++_Frequency_V4a,IL246,Baso +++,Frequency,V4a,0.371706554,0.867074939
IL246_CD4Tnaive_NFkB_V4a,IL246,CD4Tnaive,NFkB,V4a,0.371706554,0.867074939
IL246_CD8Tnaive_S6_V4a,IL246,CD8Tnaive,S6,V4a,0.371706554,0.867074939
IL246_Eosino_CREB_V4a,IL246,Eosino,CREB,V4a,0.371706554,0.867074939
IL246_Granulocytes_S6_V4a,IL246,Granulocytes,S6,V4a,0.371706554,0.867074939
IL246_NK-Tcells_Frequency_V4a,IL246,NK-Tcells,Frequency,V4a,0.371706554,0.867074939
IL246_NK-Tcells_MAPKAPK2_V4a,IL246,NK-Tcells,MAPKAPK2,V4a,0.371706554,0.867074939
IL246_Treg_MAPKAPK2_V4a,IL246,Treg,MAPKAPK2,V4a,0.371706554,0.867074939
IL246_Tregnaive_Frequency_V4a,IL246,Tregnaive,Frequency,V4a,0.371706554,0.867074939
LPS_CD8Tnaive_MAPKAPK2_V4a,LPS,CD8Tnaive,MAPKAPK2,V4a,0.371706554,0.867074939
LPS_Eosino_S6_V4a,LPS,Eosino,S6,V4a,0.371706554,0.867074939
LPS_MDSC_NFkB_V4a,LPS,MDSC,NFkB,V4a,0.371706554,0.867074939
LPS_ncMC_MAPKAPK2_V4a,LPS,ncMC,MAPKAPK2,V4a,0.371706554,0.867074939
LPS_pDC_NFkB_V4a,LPS,pDC,NFkB,V4a,0.371706554,0.867074939
LPS_Th17_MAPKAPK2_V4a,LPS,Th17,MAPKAPK2,V4a,0.371706554,0.867074939
TNFa_Bcells_ERK_V4a,TNFa,Bcells,ERK,V4a,0.371706554,0.867074939
TNFa_Bcells_MAPKAPK2_V4a,TNFa,Bcells,MAPKAPK2,V4a,0.371706554,0.867074939
TNFa_CD4Tnaive_NFkB_V4a,TNFa,CD4Tnaive,NFkB,V4a,0.371706554,0.867074939
TNFa_CD8Tcm_CREB_V4a,TNFa,CD8Tcm,CREB,V4a,0.371706554,0.867074939
Unstim_Granulocytes_STAT3_V4a,Unstim,Granulocytes,STAT3,V4a,0.371706554,0.867074939
Unstim_Th2_IkB_V4a,Unstim,Th2,IkB,V4a,0.371706554,0.867074939
Unstim_Baso_IkB_V4b,Unstim,Baso,IkB,V4b,0.371706554,0.815214654
Unstim_CD8Tcm_S6_V4b,Unstim,CD8Tcm,S6,V4b,0.371706554,0.815214654
Unstim_Th1mem_Frequency_V4b,Unstim,Th1mem,Frequency,V4b,0.371706554,0.815214654
Unstim_Th2_IkB_V4b,Unstim,Th2,IkB,V4b,0.371706554,0.815214654
Unstim_CD8Tnaive_NFkB_V5,Unstim,CD8Tnaive,NFkB,V5,0.371706554,0.880782921
